question_id,condition_label,condition,category,question_type,source_video_id,participant_id,dense_correct_choice_log_probability,routed_correct_choice_log_probability,delta_correct_choice_log_probability,dense_correct_vs_best_incorrect_margin,routed_correct_vs_best_incorrect_margin,delta_answer_margin,dense_predicted_idx,routed_predicted_idx,dense_correct,routed_correct,prediction_changed,generated_answer_correctness,retained_token_fraction,instrumentation_runtime_seconds,runtime_label
fine_grained_action_localization_1388,adaptive,route_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P01-20240203-121517,P01,-0.6942635215531564,-0.8792973315292418,-0.18503380997608543,1.25,0.875,-0.375,2,2,True,True,False,True,0.5,16.56629705429077,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_1388,random,random_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P01-20240203-121517,P01,-0.6942635215531564,-0.7020586013924209,-0.007795079839264529,1.25,1.25,0.0,2,2,True,True,False,True,0.5,16.699970960617065,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_1388,uniform,uniform_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P01-20240203-121517,P01,-0.6942635215531564,-0.5592897073009184,0.13497381425223798,1.25,1.5,0.25,2,2,True,True,False,True,0.5,16.733920097351074,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_1515,adaptive,route_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P04-20240414-165333,P04,-1.0965724890231936,-1.1557626227121953,-0.05919013368900172,0.25,0.125,-0.125,4,4,True,True,False,True,0.5,15.46925687789917,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_1515,random,random_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P04-20240414-165333,P04,-1.0965724890231936,-1.092316185506639,0.004256303516554594,0.25,0.25,0.0,4,4,True,True,False,True,0.5,15.732315063476562,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_1515,uniform,uniform_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P04-20240414-165333,P04,-1.0965724890231936,-1.0923141703601604,0.004258318663033167,0.25,0.25,0.0,4,4,True,True,False,True,0.5,15.671896696090698,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_2299,adaptive,route_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P08-20240613-122900,P08,-1.3780430733677673,-1.580601908261109,-0.2025588348933416,-0.5,-0.625,-0.125,1,1,False,False,False,False,0.5,15.6362783908844,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_2299,random,random_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P08-20240613-122900,P08,-1.3780430733677673,-1.4318458993292926,-0.0538028259615253,-0.5,-0.625,-0.125,1,1,False,False,False,False,0.5,15.513731956481934,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_2299,uniform,uniform_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P08-20240613-122900,P08,-1.3780430733677673,-1.4916210129854117,-0.1135779396176444,-0.5,-0.375,0.125,1,1,False,False,False,False,0.5,15.67016315460205,instrumentation_runtime_not_optimized_kernel_speed
fine_grained_action_localization_3677,adaptive,route_reuse_gap4_top50,fine_grained,fine_grained_action_localization,P04-20240414-065311,P04,-1.4755784501613738,-1.4472621406994712,0.028316309461902556,-0.25,-0.375,-0.125,2,1,False,False,True,False,0.5,15.439673662185669,instrumentation_runtime_not_optimized_kernel_speed
