cohort,question_id,participant_id,source_video_id,category,question_type,dense_correct_answer_log_probability,adaptive_correct_answer_log_probability,random_correct_answer_log_probability,uniform_correct_answer_log_probability,adaptive_minus_dense_correct_answer_log_probability,adaptive_minus_random_correct_answer_log_probability,adaptive_minus_uniform_correct_answer_log_probability,dense_answer_margin,adaptive_answer_margin,random_answer_margin,uniform_answer_margin,adaptive_minus_dense_answer_margin,adaptive_minus_random_answer_margin,adaptive_minus_uniform_answer_margin,dense_predicted_idx,adaptive_predicted_idx,random_predicted_idx,uniform_predicted_idx,adaptive_prediction_changed,adaptive_correct,dense_correct,correctness_change,mean_anchor_native_temporal_entropy,mean_native_retained_target_layer_mass,mean_native_oracle_top50_target_layer_mass,mean_reuse_efficiency,mean_native_source_target_top2_jaccard,mean_native_source_target_spearman,mean_normalized_temporal_coverage_span,mean_distance_from_anchor_descriptive_only,mean_descriptive_eight_bin_anchor_entropy,mean_descriptive_eight_bin_retained_mass,mean_descriptive_eight_bin_top4_oracle_mass,fraction_adjacent_selections,fraction_contains_first_unit,fraction_contains_last_unit
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,-1.7359138943232941,-1.7249691858325862,-1.967115243254117,-1.6863511484889664,0.010944708490707944,0.24214605742153084,-0.03861803734361979,-0.5,-0.5,-0.875,-0.25,0.0,0.375,-0.25,3,3,3,3,False,False,False,0,0.9790061223579843,0.563879808626142,0.5838464564298592,0.9659967025871077,0.7333333333333333,0.7066666666666668,0.8,2.0,0.9860040815692354,0.5638798086231139,0.5838464564267165,0.2,0.8,0.6
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,-2.2177523885122645,-1.876020034234418,-2.29915933940429,-1.9891172725798696,0.34173235427784654,0.42313930516987197,0.1130972383454516,-1.5,-0.875,-1.75,-1.25,0.625,0.875,0.375,4,4,4,4,False,False,False,0,0.9622109549291018,0.6056418081803902,0.6191556852408825,0.9791167454315975,0.7777777777777779,0.76,0.7,2.0,0.9748073032833589,0.6056418081771459,0.6191556852375718,0.4,1.0,0.2
development,fine_grained_action_localization_9427,P02,P02-20240211-182630,fine_grained,fine_grained_action_localization,-1.2019682692114169,-1.360437226343661,-1.4940572095008489,-1.409604410023297,-0.15846895713224418,0.13361998315718782,0.049167183679635906,0.125,0.0,-0.125,-0.125,-0.125,0.125,0.125,2,2,0,3,False,True,True,0,0.9869703749447128,0.5458151836363655,0.5695808272687589,0.9582081683058102,0.6888888888888888,0.5466666666666666,0.5,2.0,0.9913135832933965,0.5458151836330395,0.5695808272652872,1.0,0.6,0.0
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,-2.9047174051186824,-3.0359084314594873,-2.846517028136107,-3.102683761029754,-0.13119102634080493,-0.18939140332338011,0.06677532957026688,-2.375,-2.375,-2.25,-2.5,0.0,-0.125,0.125,4,4,4,4,False,False,False,0,0.9795437664995733,0.5794742760075092,0.5850658135559857,0.9900673357896728,0.6666666666666665,0.6533333333333334,0.65,2.0,0.9863625109958971,0.5794742760029874,0.5850658135514185,0.6,1.0,0.2
development,fine_grained_action_recognition_284,P01,P01-20240202-161354,fine_grained,fine_grained_action_recognition,-0.1485831169484827,-0.118551999163082,-0.1314995825481507,-0.118551999163082,0.0300311177854007,0.012947583385068698,0.0,2.0,2.25,2.125,2.25,0.25,0.125,0.0,3,3,3,3,False,True,True,0,0.9725554862179743,0.6062406386247491,0.6062576973762702,0.9999725438429465,0.9555555555555556,0.9733333333333334,0.5,2.0,0.9817036574746126,0.606240638619921,0.606257697371442,1.0,1.0,0.0
development,fine_grained_action_recognition_3572,P04,P04-20240414-162750,fine_grained,fine_grained_action_recognition,-0.888278883064899,-0.7131414589571425,-0.8311071820865936,-0.7131414589571425,0.17513742410775646,0.11796572312945108,0.0,0.125,0.375,0.25,0.375,0.25,0.125,0.0,0,0,0,0,False,True,True,0,0.9581832952954776,0.6505744993072506,0.6505744993072506,1.0,1.0,0.9600000000000001,0.5,2.0,0.9721221968598073,0.65057449930212,0.65057449930212,1.0,1.0,0.0
development,gaze_interaction_anticipation_41,P03,P03-20240218-202148,gaze,gaze_interaction_anticipation,-1.3076388949296427,-1.4288256161589474,-1.2495755489282174,-2.38058182003289,-0.12118672122930474,-0.17925006723073,0.9517562038739424,-0.375,-0.5,-0.25,-1.125,-0.125,-0.25,0.625,3,3,3,2,False,False,False,0,0.9828755750850215,0.5792374352927413,0.584643507219731,0.9904356050930103,0.8222222222222223,0.7333333333333335,0.8,2.0,0.9885837167201819,0.5792374352892806,0.584643507216235,0.4,1.0,0.6
development,gaze_interaction_anticipation_5,P05,P05-20240425-201444,gaze,gaze_interaction_anticipation,-1.0379720063170779,-0.3824840747771908,-0.6087892026986861,-0.381660188180301,0.655487931539887,0.22630512792149526,-0.0008238865968898113,-0.125,1.25,0.625,1.25,1.375,0.625,0.0,1,2,2,2,True,True,False,1,0.9799133248668135,0.5573644227142595,0.5740789290503908,0.9703338193265085,0.7333333333333333,0.6400000000000001,0.5,2.0,0.9866088832415317,0.557364422711019,0.5740789290470455,1.0,0.6,0.0
development,gaze_interaction_anticipation_926,P01,P01-20240203-130505,gaze,gaze_interaction_anticipation,-4.366453259633229,-3.658167938892962,-5.471303743060057,-3.658167938892962,0.7082853207402664,1.8131358041670946,0.0,-4.25,-3.375,-5.375,-3.375,0.875,2.0,0.0,0,0,0,0,False,False,False,0,0.9841412072768393,0.5754598893144628,0.5900815239847884,0.9735225051856443,0.8222222222222222,0.8133333333333332,0.5,2.0,0.9894274715147072,0.5754598893109425,0.5900815239811845,1.0,1.0,0.0
development,ingredient_ingredient_adding_localization_23,P08,P08-20240622-141902,ingredient,ingredient_ingredient_adding_localization,-1.890487404709058,-1.846526610498529,-1.8852952384714694,-1.662176288171134,0.04396079421052912,0.03876862797294045,-0.184350322327395,-1.0,-1.0,-1.0,-0.625,0.0,0.0,-0.375,2,2,2,2,False,False,False,0,0.9387793403203682,0.662574595127252,0.6711245456213023,0.9871202929249884,0.9111111111111111,0.8800000000000002,0.75,2.0,0.9591862268775737,0.6625745951234161,0.6711245456174182,0.0,1.0,0.0
