cohort,question_id,participant_id,source_video_id,category,question_type,anchor_layer,target_layer,distance_from_anchor,anchor_native_temporal_entropy,native_retained_target_layer_mass,native_oracle_top50_target_layer_mass,reuse_efficiency,native_source_target_top2_jaccard,native_source_target_spearman,selected_native_unit_ids,selected_analysis_bins,selected_units_adjacent,normalized_temporal_coverage_span,contains_first_unit,contains_last_unit,descriptive_eight_bin_anchor_entropy,descriptive_eight_bin_retained_mass,descriptive_eight_bin_top4_oracle_mass
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,8,9,1,0.961275254116521,0.5384391770441228,0.5963659201455368,0.9028671137222637,0.3333333333333333,0.39999999999999997,0 2,0 1 4 5,False,0.75,True,False,0.9741835027413046,0.5384391770416845,0.5963659201428363
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,8,10,2,0.961275254116521,0.459659665683267,0.5518525631519255,0.8329392601855548,0.3333333333333333,-0.39999999999999997,0 2,0 1 4 5,False,0.75,True,False,0.9741835027413046,0.45965966567974426,0.5518525631476963
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,8,11,3,0.961275254116521,0.5920244926792804,0.6128342662509394,0.9660433909824194,0.3333333333333333,0.7999999999999999,0 2,0 1 4 5,False,0.75,True,False,0.9741835027413046,0.5920244926756953,0.6128342662472283
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,12,13,1,0.9822891339259995,0.5536419721232271,0.5536419721232271,1.0,1.0,1.0,0 3,0 1 6 7,False,1.0,True,True,0.9881927559484568,0.5536419721213497,0.5536419721213496
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,12,14,2,0.9822891339259995,0.5807456622812397,0.5807456622812397,1.0,1.0,1.0,0 3,0 1 6 7,False,1.0,True,True,0.9881927559484568,0.580745662278762,0.580745662278762
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,12,15,3,0.9822891339259995,0.5738193440012426,0.6034671513775313,0.9508708845069499,0.3333333333333333,0.7999999999999999,0 3,0 1 6 7,False,1.0,True,True,0.9881927559484568,0.5738193439987891,0.6034671513749511
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,16,17,1,0.9701645833305806,0.6115221782801568,0.6115221782801568,1.0,1.0,1.0,2 3,4 5 6 7,True,0.5,False,True,0.9801097222186144,0.6115221782773659,0.6115221782773659
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,16,18,2,0.9701645833305806,0.6214432520223121,0.6214432520223121,1.0,1.0,0.7999999999999999,2 3,4 5 6 7,True,0.5,False,True,0.9801097222186144,0.6214432520191154,0.6214432520191154
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,16,19,3,0.9701645833305806,0.6194345563901357,0.6194345563901357,1.0,1.0,1.0,2 3,4 5 6 7,True,0.5,False,True,0.9801097222186144,0.6194345563877852,0.6194345563877851
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,20,21,1,0.9928761363043692,0.5765331102900527,0.5765331102900527,1.0,1.0,0.7999999999999999,0 3,0 1 6 7,False,1.0,True,True,0.99525075753377,0.5765331102867739,0.5765331102867739
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,20,22,2,0.9928761363043692,0.5596340672460062,0.5631350923279026,0.9937829747611292,0.3333333333333333,0.39999999999999997,0 3,0 1 6 7,False,1.0,True,True,0.99525075753377,0.5596340672421546,0.5631350923240269
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,20,23,3,0.9928761363043692,0.5474981191355554,0.5474981191355554,1.0,1.0,0.7999999999999999,0 3,0 1 6 7,False,1.0,True,True,0.99525075753377,0.54749811913198,0.54749811913198
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,24,25,1,0.9884255041124503,0.5564680325905693,0.5564680325905693,1.0,1.0,1.0,0 2,0 1 4 5,False,0.75,True,False,0.992283669404032,0.5564680325863922,0.5564680325863922
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,24,26,2,0.9884255041124503,0.5532398638056808,0.5532398638056808,1.0,1.0,0.7999999999999999,0 2,0 1 4 5,False,0.75,True,False,0.992283669404032,0.5532398638023696,0.5532398638023696
development,fine_grained_action_localization_3168,P04,P04-20240415-181212,fine_grained,fine_grained_action_localization,24,27,3,0.9884255041124503,0.5140936358192811,0.6095151062751215,0.8434469146482987,0.3333333333333333,0.39999999999999997,0 2,0 1 4 5,False,0.75,True,False,0.992283669404032,0.5140936358167468,0.6095151062721168
development,fine_grained_action_localization_5424,P06,P06-20240510-135423,fine_grained,fine_grained_action_localization,8,9,1,0.9435815714791307,0.6850944525369875,0.6850944525369875,1.0,1.0,0.7999999999999999,0 2,0 1 4 5,False,0.75,True,False,0.9623877143166052,0.6850944525339713,0.6850944525339713
